PlotID;Species_richness;Altitude;Inclination;Heat_index;Microrelief;Grazing_intensity;Litter;Stones_and_rocks;Gravel;Fine_soil;Sand;Silt;Clay;pH;Conductivity;CaCO3;N_total;C_org;CN_ratio;Temperature;Temperature_range;Precipitation
UA01NW;44;179;24;-0.42;5;0;12;0;0;2;45;40;15;7.32;90;0.0754;0.14;1.54;10.76;79;330;608
UA01SE;53;178;17;-0.3;2.5;0;10;0;0;5;30;35;35;6.91;115;0.1271;0.17;1.97;11.47;79;330;608
UA02NW;48;188;27;-0.51;2;0;0;0;0;0;20;60;20;6.72;126;0.0723;0.24;2.99;12.5;80;329;603
UA02SE;50;183;33;-0.65;2;0;4;0;0;7;20;60;20;6.44;90;0.0771;0.26;3.22;12.55;80;329;603
UA03NW;53;162;7;-0.09;3;0;15;0;0;0;55;10;35;6.1;73;0.0829;0.29;3.77;12.79;82;328;594
UA03SE;40;165;33;-0.42;4;0;30;0;0;0;30;35;35;6.23;76;0.0805;0.2;2.5;12.34;82;328;594
UA04NW;46;153;30;0;16;1;5;40;0;2;10;60;30;6.79;163;0.4159;0.34;4.59;13.58;82;328;594
UA04SE;56;158;32;-0.59;15;1;6;10;0;5;30;35;35;6.43;119;0.0894;0.29;3.67;12.77;82;328;594
UA05NW;30;192;25;0.46;5;0;10;0;0;5;10;60;30;7.19;151;0.1512;0.18;2.16;11.77;79;326;600
UA05SE;35;197;18;0.32;3;0;20;0;0;2;5;90;5;7;69;0.0804;0.2;2.38;11.84;83;327;586
UA06NW;48;201;5;0.08;2;0;2;0;0;0;5;90;5;6.82;73;0.0791;0.15;1.86;12.24;82;326;588
UA06SE;38;205;8;0.14;1;0;2;0;0;1;55;10;35;6.79;115;0.0866;0.19;2.17;11.66;82;326;588
UA08NW;50;125;22;-0.1;15;1;20;18;6;8;20;60;20;7.47;167;12.6796;0.26;1.55;6.04;87;329;587
UA08SE;53;122;22;-0.14;5;1;10;10;2;10;75;10;15;7.29;205;14.3978;0.25;3.07;12.23;87;329;587
UA09NW;62;169;26;-0.28;20;0;2;13;12;25;50;30;20;7.62;187;19.2448;0.3;3.05;10.11;85;328;592
UA09SE;56;166;35;-0.06;45;0;8;15;5;12;60;20;20;7.7;188;23.4186;0.23;2.89;12.46;85;328;592
UA10NW;34;123;27;0.22;2;2;30;0;0;0;55;10;35;7.32;203;28.5492;0.36;4.85;13.36;89;330;578
UA10SE;44;129;27;0.22;3;2;5;0;0;3;30;35;35;7.42;173;35.2992;0.21;2.86;13.76;89;330;578
UA11NW;33;194;14;0.14;2;0;30;0;0;0;55;10;35;7.46;180;10.82;0.57;6.98;12.35;83;327;598
UA11SE;41;194;14;0.14;2;0;90;0;0;1;20;60;20;7.5;210;12.6552;0.5;6.34;12.64;83;327;598
UA12NW;34;179;17;0.26;1;3;15;0;0;3;55;10;35;7.38;184;2.2547;0.28;3.56;12.86;87;330;583
UA12SE;41;177;13;0.2;2;3;7;0;0;30;20;25;55;7.74;150;6.713;0.19;2.39;12.36;87;330;583
UA13SE;45;163;20;0.35;3;0;2;4;2;0;30;35;35;7.52;183;14.0508;0.28;3.74;13.21;84;329;600
UA14NW;50;140;16;-0.29;5;2;2;0.2;0;25;55;10;35;7.36;187;3.5415;0.3;3.52;11.71;87;330;591
UA14SE;55;140;20;-0.36;3;0;5;0.2;0;0;55;10;35;7.45;179;4.4155;0.27;3.26;11.98;87;330;591
UA15NW;55;188;22;-0.26;5;1;25;1;1;1;5;90;5;7.43;194;5.2606;0.36;4.87;13.68;84;327;599
UA15SE;54;186;17;-0.1;3;1;5;2;0;3;50;30;20;7.33;208;5.0288;0.35;4.38;12.56;82;328;605
UA16NW;33;224;17;-0.26;2;3;5;0;0;25;5;90;5;6;129;0.1183;0.13;1.48;11.48;78;327;613
UA16SE;38;231;16;-0.23;4;3;2;0;0;38;20;25;55;7.2;149;0.3175;0.14;1.65;11.55;78;327;613
UA17NW;44;103;18;0.32;3;1;8;2;3;12;20;60;20;7.49;176;16.9733;0.25;3.24;12.78;89;330;581
UA17SE;56;109;18;0.32;3;1;20;0.2;0;15;20;60;20;7.4;201;6.9968;0.31;4.32;14.14;89;330;581
UA18NW;37;82;15;0.26;8;2;3;5;9;0;50;30;20;7.32;164;25.3756;0.18;2.84;16.24;91;330;577
UA18SE;43;78;18;0.31;5;1;2;1;6;12;30;35;35;7.2;188;23.4738;0.25;3.69;14.8;91;330;577
UA19SE;27;99;38;0.64;20;0;5;3;12;20;55;10;35;7.6;127;27.7949;0.07;1.83;27.42;92;331;587
UA20NW;39;203;20;0.31;2;2;4;0.1;0;11;55;10;35;7.52;159;2.8131;0.22;3.07;13.8;83;328;630
UA20SE;47;201;20;0.34;5;0;4;1;3;15;55;10;35;7.62;154;3.8618;0.21;3.02;14.57;83;328;630
UA21SE;36;186;22;0.38;16;1;5;0.6;0.5;3;55;10;35;7.48;163;3.922;0.15;2.58;17.36;83;328;628
UAR007;23;226;9;-0.16;3;1;85;0;0;0;55;10;35;6.65;133;0.0042;0.24;2.98;12.24;78;330;612
UAR008;32;202;40;-0.84;4;0;3;0;0;5;20;60;20;6.86;97;0.1834;0.25;2.91;11.62;79;330;605
UAR009;25;184;10;-0.16;5;2;10;0;0;5;50;30;20;5.73;94;0.1448;0.33;3.87;11.72;79;330;605
UAR010;27;197;23;-0.24;0;1;10;7;2;10;70;20;10;6.31;56;0.1123;0.15;1.67;10.96;79;330;605
UAR011;39;195;20;-0.26;8;0;5;15;2;8;20;60;20;5.97;40;0.1267;0.2;2.38;11.72;79;330;605
UAR012 ;35;183;30;0.54;20;1;10;20;0;10;55;10;35;4.89;53;0.1233;0.32;3.85;11.93;79;330;605
UAR013;47;160;20;-0.26;6;0;2;12;0;2;55;10;35;5.68;81;0.1409;0.41;4.65;11.44;81;329;597
UAR014;49;170;27;-0.26;2;1;15;0;0;3;55;10;35;5.31;44;0.1089;0.25;2.8;11.29;82;328;594
UAR015;33;174;20;0;10;1;0;0;0;20;55;25;20;6.11;87;0.1171;0.29;3.56;12.12;81;329;597
UAR017;66;158;45;-0.94;100;1;5;4;0;3;50;30;20;6.22;77;0.1257;0.26;3.25;12.27;82;328;594
UAR018;47;162;8;-0.14;2;1;10;0;0;0;5;90;5;6.21;61;0.1036;0.2;2.42;12.15;83;327;586
UAR019;46;176;6;-0.1;5;1;35;0;0;5;55;25;20;6.22;67;0.1042;0.19;2.34;12.43;83;327;586
UAR020;28;186;25;0.42;0;0;35;0;0.2;0;20;70;10;7.36;153;2.3583;0.15;1.76;11.85;81;328;594
UAR021;24;191;20;0.35;10;0;65;0;0;2;20;70;10;6.73;109;0.0975;0.25;2.97;12.1;81;326;592
UAR022;27;204;29;0.39;2;0;10;0;0;20;5;90;5;7.37;145;0.942;0.19;2.27;11.85;82;326;588
UAR023;25;208;20;0.26;5;1;15;0;0;10;30;35;35;7.5;134;1.287;0.13;1.57;12.25;79;326;600
UAR024;38;207;30;-0.41;20;1;5;0;0;5;55;10;35;7.48;131;0.3374;0.11;1.04;9.75;79;326;600
UAR025;35;202;29;0.23;3;0;10;0;0;15;30;35;35;6.35;46;0.097;0.19;2.65;14.01;82;326;588
UAR026;27;205;12;0.18;1.5;0;10;0;0;5;25;45;30;6.61;96;0.0873;0.15;1.75;11.62;82;326;588
UAR027;32;206;10;0.18;3;1;15;0;0;0;10;60;30;6.88;82;0.0931;0.16;1.78;11.07;82;326;588
UAR028;40;206;10;0;5;1;10;0;0;0;30;35;35;7.3;230;2.8688;0.32;4.46;14;82;326;588
UAR029;33;179;7;0.09;5;1;10;0;0;5;10;60;30;7.03;59;0.0952;0.12;1.37;11.89;82;326;588
UAR030;28;208;12;0.21;3;0;10;0;0;5;20;60;20;7.38;161;0.8114;0.18;2.3;12.94;82;326;588
UAR031;34;202;10;0.14;3;0;10;0;0;2;20;60;20;6.86;78;0.0851;0.13;1.47;11.58;82;326;588
UAR032;36;207;30;0.33;2;0;8;0;0;10;20;25;55;6.73;98;0.1233;0.24;3.02;12.61;82;326;588
UAR033;50;94;13;-0.12;2;3;15;1;0.5;10;80;5;15;7.26;180;23.5648;0.28;3.81;13.4;88;330;583
UAR035;30;102;1;-0.02;1;0;2;0;0;3;5;90;5;7.47;193;0.8576;0.23;2.94;12.81;88;330;583
UAR036;44;96;8;0;2;0;3;0;0;2;50;30;20;7.34;194;2.2136;0.28;3.57;12.89;88;328;583
UAR037;41;96;9;-0.01;2;3;4;5;15;15;50;30;20;7.43;199;20.3024;0.35;4.82;13.57;86;328;589
UAR039;54;95;10;0;1.5;2;84;1;0;2;20;60;20;7.34;201;8.5519;0.4;5.19;12.87;88;328;583
UAR040;50;135;25;0.04;25;3;40;2;1;3;20;60;20;7.48;185;12.4362;0.31;4.22;13.59;88;330;583
UAR041;46;135;20;0.15;8;1;10;5;0;0;5;90;5;7.47;177;3.7401;0.25;3.22;12.84;88;330;583
UAR042;63;128;20;-0.09;12;1;5;10;8;15;50;30;20;7.53;154;14.71;0.22;3.19;14.31;88;330;583
UAR043;42;134;24;0;4;1;5;3;5;7;20;60;20;7.41;186;6.939;0.27;3.84;14.4;88;330;583
UAR044;46;136;12;0.08;15;0;4;3;7;15;60;20;20;7.38;189;10.5849;0.27;3.59;13.49;88;330;583
UAR045;49;130;26;0;12;0;5;10;15;10;20;60;20;7.44;175;22.431;0.24;2.87;12.1;88;330;583
UAR046;39;159;16;0.16;2;2;1;1;6;10;20;60;20;7.65;165;23.1226;0.26;3.11;12.13;88;329;581
UAR047;51;152;27;0.5;5;2;3;2;6;6;20;60;20;7.59;179;11.2323;0.34;4.13;12.29;88;329;581
UAR049;39;148;12;0.16;2;2;30;0.01;0;1;30;60;10;7.32;214;21.1385;0.42;5.65;13.41;89;330;578
UAR050;49;175;30;-0.24;7;2;2;12;3;3;30;60;10;7.68;194;22.8959;0.33;4.19;12.65;85;328;592
UAR051;46;122;25;-0.33;10;0;15;3;2;10;20;60;20;7.62;151;15.3835;0.23;3.3;14.54;88;329;581
UAR055;40;132;25;0.33;3;0;2;5;10;18;20;60;20;7.58;157;31.1486;0.14;2.05;14.57;89;330;578
UAR056;44;145;35;-0.7;7;1;10;10;3;5;5;90;5;7.5;169;14.1266;0.22;3.28;14.81;88;329;581
UAR057;45;148;10;0.18;5;1;3;2;0;2;20;70;10;7.29;203;15.4039;0.33;4.98;15.14;88;329;581
UAR058;40;178;22;-0.12;5;2;5;7;1;17;20;60;20;7.68;173;16.7573;0.33;4.55;13.66;85;328;592
UAR059;21;170;18;-0.14;5;2;5;2;3;4;55;10;35;7.39;208;7.8043;0.45;5.6;12.53;85;328;592
UAR060;36;172;7;-0.07;6;1;5;10;0;5;5;90;5;7.39;196;4.8482;0.48;5.76;11.88;85;328;592
UAR061;23;159;48;0.1;100;0;1;68;0;1;;;;7.53;203;10.9638;0.95;11.3;11.86;82;327;599
UAR062;24;149;35;-0.3;5;1;80;2;8;4;25;70;5;7.72;160;18.3208;0.16;2.77;17.41;82;327;599
UAR063;49;152;36;-0.31;15;0;0;10;18;4;10;60;30;7.7;192;14.0069;0.33;4.57;13.72;85;328;592
UAR064;57;169;12;-0.2;5;1;50;0.5;0;1;55;10;35;7.41;216;2.8592;0.61;7.26;11.92;85;328;592
UAR065;24;161;44;0.33;20;1;8;5;15;3;50;30;20;7.72;186;23.1854;0.17;3;17.45;85;328;592
UAR066;53;164;30;0.49;3;2;5;0;0;7;25;45;30;7.54;202;1.1396;0.29;3.62;12.33;85;328;592
UAR067;34;156;14;-0.04;4;0;1;7;15;15;10;60;30;7.67;157;14.7057;0.21;3.13;14.9;85;328;592
UAR068;50;155;12;-0.06;2;1;1;1.5;10;10;20;60;20;7.32;194;12.6425;0.4;5.34;13.32;85;328;592
UAR069;36;188;12;0;3;0;20;0;2;8;80;5;15;7.39;205;13.1572;0.39;5.33;13.83;83;327;598
UAR070;46;193;10;0;3;0;10;0.5;0;4.5;55;25;20;7.44;188;4.8721;0.32;4.3;13.28;83;327;598
UAR071;31;195;8;0;2;2;24;0;0;1;20;70;10;7.42;186;1.742;0.21;3.19;15.5;86;328;585
UAR072;29;192;35;0;10;0;18;9;0;3;10;60;30;7.42;175;6.103;0.26;3.64;13.92;86;328;585
UAR073;36;154;30;-0.56;2;2;20;2;0;0;30;35;35;7.46;208;6.1577;0.35;4.44;12.83;87;330;583
UAR074;35;156;15;0.15;3;2;9;0;0;1;55;10;35;7.43;184;2.7889;0.29;3.69;12.64;84;329;600
UAR076;31;178;35;0.66;60;0;60;35;1;1;70;20;10;7.31;211;17.2134;0.46;6.46;14.02;83;327;598
UAR077;43;187;12;0.21;6;0;3;23;1;1;20;60;20;7.49;162;18.9679;0.48;5.94;12.39;83;327;598
UAR078;50;177;22;-0.35;10;0;3;20;1;2;20;60;20;7.48;201;11.7132;0.63;8.28;13.12;87;330;583
UAR079;51;183;24;-0.45;2;0;20;0;0;3;55;10;35;7.28;220;2.0353;0.36;4.31;12.11;87;330;583
UAR080;41;156;23;0.33;8;2;12;4;3;6;50;30;20;7.66;197;12.3333;0.26;3.8;14.67;87;330;583
UAR081;34;190;12;-0.18;2;1;25;0;2;0;20;70;10;7.32;219;7.303;0.54;6.72;12.5;83;327;598
UAR082;34;187;20;0.36;4;1;10;0;3;0;50;30;20;7.53;209;11.0822;0.43;5.61;13.18;83;327;598
UAR084;34;160;12;0.12;3;1;7;3;0;3;5;90;5;7.52;217;5.2048;0.38;4.4;11.69;87;330;583
UAR085;36;158;12;0.21;3;1;5;1;0;1;55;10;35;7.54;199;12.2279;0.29;3.63;12.42;84;329;600
UAR086;26;197;19;-0.15;2;0;85;0;0.1;2;20;60;20;7.52;181;9.2174;0.35;4.19;12.06;83;327;598
UAR087;35;190;25;-0.2;2;0;15;1.5;15;10;55;10;35;7.65;176;8.7208;0.32;4.04;12.76;83;327;598
UAR089;32;195;22;-0.23;3;0;60;0;0;5;20;25;55;7.52;185;2.0434;0.24;3.05;12.91;86;328;585
UAR090;34;191;20;0.18;1;0;3;0.5;2;25;55;10;35;7.64;149;4.6578;0.22;2.66;12.28;87;330;583
UAR091;31;192;2;-0.02;1;0;15;0;0;1;55;10;35;7.39;231;6.6297;0.64;7.77;12.05;83;327;598
UAR092;45;192;15;-0.15;10;0;7;5;2;8;20;60;20;7.47;193;15.76;0.4;4.95;12.31;83;327;598
UAR093;38;174;24;0.04;7;0;12;1.5;5;24;80;5;15;7.57;149;17.4479;0.19;2.67;14.27;87;330;583
UAR094;36;194;12;-0.04;20;0;1;57;0.2;2;5;90;5;7.56;165;2.3366;0.85;9.56;11.29;87;330;583
UAR095;45;165;28;0.51;20;3;5;5;3.5;18.5;30;35;35;7.66;178;14.9888;0.32;4.23;13.13;84;329;600
UAR096;39;160;27;-0.45;5;3;25;0;0;0.5;5;90;5;7.27;214;0.7902;0.35;4.25;12.28;84;329;600
UAR097;60;144;20;0.35;1;3;5;2;0;5;5;90;5;7.49;166;0.6981;0.3;3.86;12.78;84;329;602
UAR098;42;158;15;0.25;5;3;7;0.1;0.1;15;30;35;35;7.58;181;2.8166;0.23;3.13;13.75;84;329;602
UAR099;40;168;12;0.2;3;3;4;0;0.02;10;5;90;5;7.57;171;0.4985;0.21;2.89;13.71;84;329;602
UAR100;41;152;10;0.02;3;2;2;0;0;3;20;60;20;7.4;193;16.7992;0.37;5.24;14.12;83;329;602
UAR101;43;156;15;0.27;2;2;3;1;0;11;20;70;10;7.35;174;8.5207;0.27;3.8;13.91;84;329;600
UAR102;31;141;20;-0.32;4;2;8;0;2;0;10;60;30;7.18;216;0.4179;0.38;4.44;11.78;84;329;600
UAR103;26;147;15;0.15;4;2;8;0;0;7;45;40;15;7.08;152;0.1332;0.23;3.03;13.22;84;329;600
UAR104;48;149;12;0.19;2;2;3;7;10;10;10;60;30;7.37;185;5.148;0.29;3.86;13.12;84;329;602
UAR105;51;150;8;0.14;2;2;2;3;2;8;20;60;20;7.54;179;13.0566;0.35;4.92;13.93;87;330;591
UAR106;44;155;12;0.21;3;1;10;0;0;3;55;10;35;7.32;202;2.0027;0.34;4.74;13.94;84;329;602
UAR107;19;153;15;0.23;5;2;10;20;7;3;50;30;20;7.47;163;10.8087;0.23;3.57;15.72;84;329;602
UAR108;24;149;10;0.17;6;2;5;3;7;5;50;30;20;7.58;162;8.3445;0.25;3.6;14.19;84;329;602
UAR109;49;188;18;-0.11;5;1;3;1;5;6;50;30;20;7.36;186;4.7377;0.32;4.21;13.27;82;328;605
UAR110;21;230;7;-0.11;5;1;3;0;0;22;70;20;10;7.45;112;0.1094;0.1;1.09;11.28;78;327;613
UAR111;49;163;28;0;10;1;5;8;12;12;50;30;20;7.59;173;13.5179;0.29;4.11;14.19;87;330;583
UAR112;24;166;20;0.26;5;1;10;0;0;5;30;35;35;7.41;229;0.4805;0.28;3.87;13.67;84;329;600
UAR113;50;174;18;0.32;8;2;10;15;2;2;50;30;20;7.67;169;20.2446;0.21;3.17;14.79;84;329;600
UAR114;55;175;14;-0.25;2;1;5;0;0;3;55;10;35;7.36;205;0.3017;0.3;3.93;13.07;84;329;600
UAR115;30;148;15;0.07;2.5;2;2;65;1;2;55;10;35;7.71;169;8.0535;0.44;5.24;11.99;87;330;591
UAR116;37;162;22;-0.04;7;2;8;2;0;8;50;30;20;7.71;207;13.7949;0.35;4.55;13.08;84;329;600
UAR117;41;150;25;0.42;25;3;5;8;10;15;70;20;10;7.54;146;19.5021;0.14;2.3;16.69;86;330;593
UAR118;50;153;28;-0.49;10;3;1;4;25;11;35;45;20;7.43;168;17.8738;0.28;3.58;12.93;87;330;591
UAR119;51;178;2;-0.02;3;0;1;10;38;3;45;40;15;7.7;139;22.0852;0.11;1.64;14.46;82;328;605
UAR120;47;177;2;-0.02;2;0;7;1;2;10;30;35;35;7.67;171;15.3737;0.2;2.83;14.32;82;328;605
UAR121;51;187;15;-0.07;3;2;4;0;0;1;30;35;35;7.46;187;2.1373;0.27;3.24;11.98;82;328;605
UAR122;39;141;15;0.27;3;0;5;0.5;2;12.5;55;10;35;7.55;176;17.9258;0.33;4.63;14.04;89;330;581
UAR123;42;138;20;0.33;4;0;3;1.5;4;1.5;20;60;20;7.53;193;12.684;0.31;4.55;14.78;89;330;581
UAR126;46;188;13;0.1;0;1;2;25;20;10;35;40;20;7.79;142;10.7541;0.13;2.2;17.58;82;328;605
UAR127;56;186;24;-0.1;0;1;25;0.1;3;3;20;60;20;7.68;166;10.2868;0.34;4.78;13.91;82;328;605
UAR128;47;188;20;-0.08;0;1;20;2;2;7;30;35;35;7.6;182;4.9964;0.35;4.6;13;82;328;605
UAR130;40;107;20;-0.36;5;0;15;0;0;3;5;90;5;7.39;189;1.5295;0.3;3.86;12.75;89;330;581
UAR131;30;125;7;-0.12;7;0;7;2;0;3;20;25;55;7.46;181;3.463;0.27;3.7;13.68;89;330;581
UAR132;33;122;6;-0.11;3;0;5;6;3;6;30;35;35;7.54;190;3.6946;0.32;4.4;13.8;89;330;581
UAR133;37;134;10;0.02;5;1;5;15;5;5;10;60;30;7.58;169;4.6271;0.34;4.4;12.86;89;330;581
UAR134;14;90;18;0.19;5;0;5;5;27;3;45;40;15;7.41;162;20.7663;0.16;3.54;22.64;91;330;577
UAR135;28;205;10;0.14;5;0;2;2;0;1;55;10;35;7.55;155;1.9294;0.28;3.88;13.96;83;328;630
UAR136;49;183;30;-0.41;5;1;10;1;3;20;20;60;20;7.69;148;1.4614;0.2;2.6;13.26;82;328;605
UAR137;49;139;16;-0.05;3;3;15;0;0;5;45;40;15;7.12;124;0.1132;0.15;1.74;11.91;87;330;591
UAR138;29;225;30;0.56;8;0;5;5;40;3;50;30;20;7.41;150;19.3268;0.15;3.36;21.95;78;327;613
UAR139;39;83;25;-0.08;10;0;10;0;2;10;55;10;35;7.4;178;8.3792;0.24;3.91;16.5;90;330;578
UAR140;39;107;22;0.37;8;0;8;5;20;8;30;35;35;7.36;164;13.4849;0.15;3.59;23.74;89;330;581
UAR141;54;189;18;-0.27;8;0;2;6;3;5;55;10;35;7.21;228;5.7863;0.49;7.36;14.98;82;328;605
UAR142;38;190;20;-0.35;10;0;1;1.5;1;10;5;90;5;7.21;209;1.531;0.49;6.26;12.68;82;328;605
UAR143;37;251;15;-0.22;5;3;3;0;0;18;45;40;15;6.82;83;0.1039;0.19;2.54;13.36;78;327;613
UAR144;61;129;15;-0.27;5;0;12;0.2;0;12;55;10;35;7.38;193;3.0726;0.36;5.16;14.23;89;330;581
UAR145;41;129;18;0.03;2;0;5;0;0;5;50;30;20;7.34;206;2.6503;0.39;5.46;14.07;89;330;581
UAR147;34;94;21;0.27;3;0;10;0;2;8;70;20;10;7.6;184;21.2462;0.2;5.16;25.84;92;331;587
UAR148;36;103;32;0.2;10;0;5;0.5;25;20;50;30;20;7.54;150;0.2959;0.13;1.68;12.52;92;331;587
UAR150;35;185;20;0.35;2;0;30;0;0;0.5;20;60;20;7.33;171;1.9469;0.31;4.4;14.16;83;328;628
UAR151;40;114;20;0.21;5;2;6;1;0;8;55;10;35;7.68;144;2.0819;0.22;3.04;13.63;91;330;577
UAR152;37;140;7;0.09;2;2;3;0;0;2;55;10;35;7;174;0.173;0.3;3.45;11.64;91;330;578
UAR153;33;82;25;-0.12;7;0;15;0;0;5;50;30;20;7.43;158;7.8371;0.14;3.37;23.58;92;331;587
UAR154;25;73;7;0.01;3;0;60;0;0;0;30;35;35;7.57;164;5.6805;0.17;3.14;18.96;92;331;587
UAR155;39;96;3;-0.05;4;0;25;0;0;5;5;90;5;7.26;175;2.1127;0.22;3.48;15.8;92;331;587
UAR156;38;100;15;0.24;10;0;5;3;5;6;20;60;20;7.26;170;5.3641;0.25;3.5;14.24;89;330;581
UAR157;34;100;15;-0.26;5;0;10;0;0;0;55;10;35;7.37;199;2.0438;0.31;4.09;13.31;89;330;581
UAR158;40;83;30;-0.56;5;0;30;1;3;1;55;10;35;7.2;232;4.6703;0.42;6.32;15.03;92;330;578
UAR159;42;118;17;-0.3;8;1;30;0;0;5;70;20;10;7.16;166;0.1017;0.28;3.85;13.78;92;330;578
UAR160;43;109;34;-0.65;25;0;20;0;3;2;20;60;20;7.08;115;0.1235;0.27;3.99;14.67;92;330;578
UAR164;23;115;43;0.6;2;0;10;0;0;38;30;35;35;7.77;158;0.4434;0.2;2.58;12.6;92;331;587
UAR165;26;114;28;0.18;1;0;5;0;0;30;55;10;35;7.76;198;1.2195;0.29;3.51;12.04;92;331;587
UAR166;46;188;10;-0.09;7;2;8;0;0;0;20;60;20;6.7;116;0.1274;0.23;2.98;12.94;83;328;630
UAR167;52;171;19;0.01;5;2;10;0.01;0;0;50;30;20;7.22;189;0.5623;0.27;3.55;12.95;83;328;630
UAR168;37;173;23;0.41;5;3;3;0.1;7;10;55;10;35;7.6;152;6.9212;0.14;1.84;12.98;83;328;630
UAR169;42;166;10;0.15;2;2;3;0;0;20;20;70;10;7.16;125;0.1828;0.19;2.71;14.04;83;328;630
UAR170;40;199;20;0.27;8;2;4;6;0;15;55;10;35;7.55;146;4.8939;0.2;2.61;13.19;83;328;630
UAR171;38;87;18;0.32;3;0;8;0;0;7;50;30;20;7.51;182;21.1005;0.26;3.23;12.44;83;328;628
UAR172;40;186;10;0.17;3;0;20;0;0;5;50;30;20;7.47;165;19.7927;0.31;4.07;13.32;83;328;628
UAR176;28;196;12;0.15;8;1;5;5;0;0;20;60;20;7.51;179;3.6807;0.4;5.03;12.52;83;328;630
UAR177;41;207;7;0.06;3;1;0;6;0;15;55;10;35;7.64;144;2.5182;0.26;3.37;12.87;83;328;630
UAR179;27;194;12;0.21;5;0;5;0;0;2;50;30;20;7.47;186;18.6094;0.32;4.48;13.93;83;328;628
UAR180;26;190;9;0.15;3;0;10;0;3;3;55;10;35;7.49;196;13.5427;0.31;4.53;14.45;83;328;628
UAR181;50;89;24;-0.44;7;0;25;2;2;2;70;20;10;7.32;177;12.9438;0.17;2.67;15.45;92;331;587
UAR182;30;163;42;0.85;25;1;1;0;2;28;30;35;35;7.71;124;0.6286;0.13;1.58;12.03;83;328;630
UAR183;61;188;45;-0.71;15;1;15;0;0;2;45;40;15;7.14;155;0.3136;0.23;3.11;13.63;83;328;630
UAR186;20;101;30;0.33;10;0;10;0;25;20;20;60;20;7.63;138;12.5073;0.11;1.72;14.99;92;331;587
UAR187;46;210;12;0.19;5;0;4;1;0.2;4;20;60;20;7.61;167;2.4516;0.36;4.74;13.17;83;328;630
UAR188;38;199;22;0.38;5;3;2;0;0.5;4;20;60;20;7.64;150;2.4326;0.29;3.7;12.95;83;328;630
UAR194;56;185;20;-0.06;3;1;5;0;0;1;20;70;10;7.14;151;0.1271;0.23;3;12.84;83;328;630
UAR195;47;171;5;0.06;3;2;5;0;0;2;45;40;15;7;102;0.0942;0.18;2.2;12.19;83;328;630
UAR196;67;179;28;-0.48;10;1;3;1;0;4;55;10;35;7.55;182;7.122;0.28;3.53;12.64;83;329;630
UAR197;45;171;15;-0.02;3;2;2;0;0;2;55;10;35;6.81;177;0.1656;0.26;3.74;14.58;83;328;630
